,geo_name,p0010001,NAME,P0010001,POPULATION CHANGE
17,St. Mary's County,86211,St. Mary's County,105151,21.969354258737283
7,Charles County,120546,Charles County,146551,21.572677650025717
9,Frederick County,195277,Frederick County,233385,19.514843017866927
3,Calvert County,74563,Calvert County,88737,19.009428268712362
16,Queen Anne's County,40563,Queen Anne's County,47798,17.83645193895915
6,Cecil County,85951,Cecil County,101108,17.634466149317635
21,Wicomico County,84644,Wicomico County,98733,16.645007324795614
12,Howard County,247842,Howard County,287085,15.833878035199845
11,Harford County,218590,Harford County,244826,12.00237888284002
20,Washington County,131923,Washington County,147430,11.754584113460124
19,Talbot County,33812,Talbot County,37782,11.741393588075239
14,Montgomery County,873341,Montgomery County,971777,11.271198764285657
4,Caroline County,29772,Caroline County,33066,11.064087061668681
5,Carroll County,150897,Carroll County,167134,10.76031995334566
22,Worcester County,46543,Worcester County,51454,10.551532990997572
1,Anne Arundel County,489656,Anne Arundel County,537656,9.802800333295211
15,Prince George's County,801515,Prince George's County,863420,7.723498624479891
18,Somerset County,24747,Somerset County,26470,6.962460096173274
2,Baltimore County,754292,Baltimore County,805029,6.726440158453225
8,Dorchester County,30674,Dorchester County,32618,6.337614918171742
13,Kent County,19197,Kent County,20197,5.209147262593113
10,Garrett County,29846,Garrett County,30097,0.8409837164109093
0,Allegany County,74930,Allegany County,75087,0.20952889363405847
23,Baltimore city,651154,Baltimore city,620961,-4.636844740261137
